과목,원래시간후보,주차,요일,시작,종료,x_iwdt,z_iwdtr(강의실),TimeMove_i,RoomChange_i
Calculus(1)-1,8주차 목 09:00,8,목,09:00,11:00,1,483,0,0
Calculus(1)-2,8주차 목 10:00,8,목,11:30,13:30,1,502,1,0
Corp&Safety,8주차 화 14:30,8,화,14:30,15:45,1,502,0,0
DataMining,"9주차 화 12:00, 9주차 목 16:30",9,화,12:00,13:15,1,479,0,0
Database,"8주차 화 11:00, 8주차 수 16:30",8,화,11:00,12:15,1,482,0,1
Det.ManageSci-1,"8주차 월 09:00, 8주차 수 10:30",8,월,09:00,10:20,1,479,0,0
Det.ManageSci-2,"8주차 월 10:30, 8주차 수 12:00",8,월,10:30,11:50,1,483,0,0
Ergonomics-1,"8주차 월 12:00, 8주차 수 13:30",8,수,13:30,14:50,1,479,0,0
Ergonomics-2,"8주차 월 16:30, 8주차 수 15:00",8,수,15:00,16:20,1,483,0,0
GenAIApps,"8주차 화 18:30, 8주차 목 18:30",8,화,16:30,17:45,1,483,1,0
IntroFinEng,"8주차 수 09:00, 8주차 목 12:00",8,목,10:00,11:15,1,479,1,1
IntroIE&M-1,9주차 월 10:30,9,월,10:30,11:30,1,483,0,0
IntroIE&M-2,9주차 월 15:00,9,월,15:00,16:00,1,502,0,0
Optim&Apps,"9주차 월 16:30, 9주차 목 10:30",9,월,16:30,18:30,1,479,0,0
Prob&Stats(1)-1,"9주차 월 13:30, 9주차 목 12:00",9,목,12:00,13:15,1,479,0,0
Prob&Stats(1)-2,"9주차 월 15:00, 9주차 목 13:30",9,목,13:30,14:45,1,483,0,0
ProdControl,"7주차 화 13:30, 8주차 수 13:30",7,화,13:30,14:45,1,479,0,0
ProdDevProcess-1,"8주차 화 09:00, 8주차 목 13:30",8,목,13:30,14:45,1,479,0,0
ProdDevProcess-2,"8주차 화 10:30, 8주차 목 15:00",8,화,10:30,11:20,1,483,0,0
QualityEng-1,9주차 금 10:00,9,금,10:00,12:00,1,483,0,0
QualityEng-2,9주차 금 15:00,9,금,15:00,17:00,1,483,0,0
ReinforcLearn,"8주차 화 10:30, 8주차 수 10:30",8,화,10:30,11:45,1,479,0,0
SmartLogistics,"8주차 화 12:00, 8주차 수 12:00",8,수,12:00,13:15,1,479,0,0
SmartMfg&Auto,8주차 금 10:00,8,금,10:00,11:00,1,479,0,1
