Dmax,Tmax,feasible,objective,time_move_sum,room_move_sum,daily_penalty_sum,overlap_violation,consecutive_violation,daily4_count,return_code
0,2,0,,,,,,,,0
0,3,0,,,,,,,,0
0,4,1,7.9595,3,8,20,0,0,0,0
0,5,1,7.9595,3,8,20,0,0,0,0
0,6,1,7.9595,3,8,20,0,0,0,0
1,2,1,5.0581,5,8,4,0,0,0,0
1,3,1,5.0581,5,8,4,0,0,0,0
1,4,1,4.4248,4,8,4,0,0,0,0
1,5,1,4.4248,4,8,4,0,0,0,0
1,6,1,4.4248,4,8,4,0,0,0,0
2,2,1,3.9038,4,8,2,0,0,0,0
2,3,1,3.9038,4,8,2,0,0,0,0
2,4,1,3.9038,4,8,2,0,0,0,0
2,5,1,3.9038,4,8,2,0,0,0,0
2,6,1,3.9038,4,8,2,0,0,0,0
